,name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
209,new york,2021-09-09 17,22.1,22.1,19.3,84.09,0.014,100,rain,0.0,0.0,,5.5,20.0,1007.2,89.5,16.0,90.0,0.3,1,,"Rain, Partially cloudy",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
210,new york,2021-09-09 18,22.1,22.1,18.8,81.79,0.0,0,,0.0,0.0,,5.4,70.0,1007.5,88.3,15.9,55.0,0.2,1,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
211,new york,2021-09-09 19,22.1,22.1,18.4,79.2,0.0,0,,0.0,0.0,,5.7,261.0,1007.5,88.3,16.0,19.0,0.1,0,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
212,new york,2021-09-09 20,22.1,22.1,18.3,79.22,0.0,0,,0.0,0.0,,0.2,359.0,1007.4,1.5,16.0,1.0,0.0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
213,new york,2021-09-09 21,21.6,21.6,18.8,83.94,0.0,0,,0.0,0.0,,0.2,359.0,1007.8,1.5,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
214,new york,2021-09-09 22,21.6,21.6,17.9,79.21,0.0,0,,0.0,0.0,,0.3,358.0,1008.2,1.5,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
215,new york,2021-09-09 23,21.7,21.7,17.8,78.77,0.0,0,,0.0,0.0,27.7,0.8,353.0,1008.0,1.5,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
216,new york,2021-09-10 00,21.6,21.6,17.2,75.88,0.0,0,,0.0,0.0,,0.5,349.0,1008.2,1.5,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
217,new york,2021-09-10 01,21.1,21.1,17.1,78.05,0.0,0,,0.0,0.0,,9.4,271.0,1008.2,1.5,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
218,new york,2021-09-10 02,20.6,20.6,16.2,75.52,0.0,0,,0.0,0.0,27.7,5.9,281.0,1008.5,1.5,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
219,new york,2021-09-10 03,20.0,20.0,16.1,78.5,0.0,0,,0.0,0.0,,0.8,351.0,1008.7,0.8,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
220,new york,2021-09-10 04,19.3,19.3,15.0,75.96,0.0,0,,0.0,0.0,,0.3,359.0,1008.6,0.4,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
221,new york,2021-09-10 05,18.8,18.8,14.3,75.26,0.0,0,,0.0,0.0,47.9,0.6,359.0,1008.8,0.4,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
222,new york,2021-09-10 06,18.8,18.8,13.9,72.9,0.0,0,,0.0,0.0,35.3,0.7,358.0,1009.6,0.4,16.0,5.8,0.0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
223,new york,2021-09-10 07,18.3,18.3,13.8,74.96,0.0,0,,0.0,0.0,,5.9,192.0,1010.6,0.4,16.0,17.0,0.1,0,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
224,new york,2021-09-10 08,19.3,19.3,14.3,72.93,0.0,0,,0.0,0.0,37.1,9.5,300.0,1011.4,0.4,16.0,29.0,0.1,0,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
225,new york,2021-09-10 09,20.6,20.6,13.8,65.16,0.0,0,,0.0,0.0,,8.0,310.0,1011.8,0.4,16.0,204.0,0.7,2,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
226,new york,2021-09-10 10,22.0,22.0,12.8,55.71,0.0,0,,0.0,0.0,40.7,8.4,298.0,1012.2,0.4,16.0,549.0,2.0,5,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
227,new york,2021-09-10 11,23.2,23.2,11.6,48.15,0.23,100,rain,0.0,0.0,46.0,6.0,320.0,1012.4,0.4,16.0,698.0,2.5,7,,Rain,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
228,new york,2021-09-10 12,23.7,23.7,11.6,46.71,0.0,0,,0.0,0.0,44.6,6.1,330.0,1012.6,30.9,16.0,751.0,2.7,8,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
229,new york,2021-09-10 13,24.2,24.2,11.6,45.23,0.0,0,,0.0,0.0,35.1,9.8,315.0,1012.6,86.8,16.0,849.0,3.1,8,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
230,new york,2021-09-10 14,24.9,24.9,11.5,43.28,0.0,0,,0.0,0.0,35.6,1.2,353.0,1012.8,0.4,16.0,855.0,3.1,9,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
231,new york,2021-09-10 15,25.5,25.5,11.0,40.21,0.0,0,,0.0,0.0,43.3,6.0,310.0,1012.7,26.8,16.0,743.0,2.7,7,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
232,new york,2021-09-10 16,26.0,26.0,9.8,36.22,0.0,0,,0.0,0.0,37.1,6.2,303.0,1013.0,2.1,16.0,529.0,1.9,5,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
233,new york,2021-09-10 17,25.9,25.9,9.2,34.88,0.0,0,,0.0,0.0,27.7,6.1,320.0,1013.7,26.8,16.0,303.0,1.1,3,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
234,new york,2021-09-10 18,25.5,25.5,9.2,35.75,0.0,0,,0.0,0.0,34.8,1.0,353.0,1014.3,2.1,16.0,225.0,0.8,2,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
235,new york,2021-09-10 19,24.2,24.2,9.9,40.18,0.0,0,,0.0,0.0,32.0,6.2,303.0,1014.8,0.8,16.0,40.0,0.1,0,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
